Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Warren-Troy-Farmington Hills, MI M.D.",NA,2555140,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,5830,50,1037,793,3950,34949,6042,25914,2993
NA,Estimated total,1,5834,50,1038,794,3952,34970,6045,25930,2995
NA,"Rate per 100,000 inhabitants",NA,228.3,2,40.6,31.1,154.7,1368.6,236.6,1014.8,117.2
"Dothan, AL M.S.A.4",NA,148284,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Geneva, Henry, and Houston Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dothan4,67835,NA,5,35,79,NA,2758,669,1928,161
NA,Total area actually reporting,0.994,NA,10,74,95,NA,4221,1072,2869,280
NA,Estimated total,1,NA,10,74,96,NA,4248,1077,2889,282
NA,"Rate per 100,000 inhabitants",NA,NA,6.7,49.9,64.7,NA,2864.8,726.3,1948.3,190.2
"Dover, DE M.S.A.",NA,175090,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kent County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dover,37824,307,2,12,57,236,1880,100,1699,81
NA,Total area actually reporting,1,829,6,64,156,603,4399,652,3579,168
NA,"Rate per 100,000 inhabitants",NA,473.5,3.4,36.6,89.1,344.4,2512.4,372.4,2044.1,96
"Dubuque, IA M.S.A.",NA,97625,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Dubuque County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dubuque,59026,210,1,52,26,131,1832,408,1349,75
NA,Total area actually reporting,1,237,2,58,28,149,2054,485,1477,92
NA,"Rate per 100,000 inhabitants",NA,242.8,2,59.4,28.7,152.6,2104,496.8,1512.9,94.2
"Duluth, MN-WI M.S.A.",NA,279220,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Duluth, MN",86090,312,1,51,64,196,3827,529,3162,136
NA,Total area actually reporting,1,642,3,126,92,421,8915,1374,7124,417
NA,"Rate per 100,000 inhabitants",NA,229.9,1.1,45.1,32.9,150.8,3192.8,492.1,2551.4,149.3
"East Stroudsburg, PA M.S.A.",NA,165226,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Monroe County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,416,10,73,80,253,3130,632,2403,95
NA,"Rate per 100,000 inhabitants",NA,251.8,6.1,44.2,48.4,153.1,1894.4,382.5,1454.4,57.5
"Eau Claire, WI M.S.A.2",NA,166178,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Chippewa and Eau Claire Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Eau Claire,68084,141,1,18,17,105,1818,277,1481,60
NA,Total area actually reporting,1,230,5,38,20,167,2788,493,2187,108
NA,"Rate per 100,000 inhabitants",NA,138.4,3,22.9,12,100.5,1677.7,296.7,1316.1,65
"El Centro, CA M.S.A.",NA,180066,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Imperial County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of El Centro,44213,205,1,19,55,130,2314,506,1669,139
NA,Total area actually reporting,0.959,676,3,34,118,521,5195,1165,3483,547
NA,Estimated total,1,701,3,36,126,536,5372,1199,3597,576
NA,"Rate per 100,000 inhabitants",NA,389.3,1.7,20,70,297.7,2983.4,665.9,1997.6,319.9
"Elizabethtown-Fort Knox, KY M.S.A.",NA,148206,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hardin, Larue, and Meade Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Elizabethtown,29821,68,2,15,17,34,476,107,329,40
NA,Total area actually reporting,1,181,3,40,52,86,1479,406,945,128
NA,"Rate per 100,000 inhabitants",NA,122.1,2,27,35.1,58,997.9,273.9,637.6,86.4
"Elmira, NY M.S.A.",NA,86124,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Chemung County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Elmira,27995,97,2,2,34,59,1074,172,875,27
NA,Total area actually reporting,1,172,3,28,38,103,1892,270,1577,45
NA,"Rate per 100,000 inhabitants",NA,199.7,3.5,32.5,44.1,119.6,2196.8,313.5,1831.1,52.3
"El Paso, TX M.S.A.",NA,843018,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes El Paso and Hudspeth Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of El Paso,687193,2682,17,314,476,1875,12357,1410,10135,812
NA,Total area actually reporting,0.999,3076,23,378,520,2155,14413,1784,11696,933
NA,Estimated total,1,3080,23,379,521,2157,14442,1789,11718,935
NA,"Rate per 100,000 inhabitants",NA,365.4,2.7,45,61.8,255.9,1713.1,212.2,1390,110.9
"Enid, OK M.S.A.",NA,63828,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Garfield County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Enid,52240,214,2,29,27,156,2041,474,1489,78
NA,Total area actually reporting,1,233,2,35,27,169,2220,533,1590,97
NA,"Rate per 100,000 inhabitants",NA,365,3.1,54.8,42.3,264.8,3478.1,835.1,2491.1,152
"Erie, PA M.S.A.",NA,276700,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Erie County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Erie,99019,353,10,46,115,182,2278,567,1607,104
NA,Total area actually reporting,1,594,11,100,157,326,5307,1077,4052,178
NA,"Rate per 100,000 inhabitants",NA,214.7,4,36.1,56.7,117.8,1918,389.2,1464.4,64.3
"Eugene, OR M.S.A.2",NA,367343,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lane County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Eugene,164883,602,6,95,137,364,6317,1062,4622,633
NA,Total area actually reporting,0.991,1172,7,174,208,783,12137,1994,9114,1029
NA,Estimated total,1,1178,7,175,209,787,12222,2004,9181,1037
NA,"Rate per 100,000 inhabitants",NA,320.7,1.9,47.6,56.9,214.2,3327.1,545.5,2499.3,282.3
"Evansville, IN-KY M.S.A.",NA,315875,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Evansville,119908,762,8,75,210,469,5881,1008,4490,383
NA,Total area actually reporting,0.979,1127,11,106,253,757,8462,1556,6375,531
NA,Estimated total,1,1144,11,107,257,769,8644,1577,6523,544
NA,"Rate per 100,000 inhabitants",NA,362.2,3.5,33.9,81.4,243.5,2736.5,499.2,2065.1,172.2
"Fairbanks, AK M.S.A.",NA,34657,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Fairbanks North Star Borough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fairbanks,32456,223,7,31,31,154,1350,157,1069,124
NA,Total area actually reporting,1,232,7,35,32,158,1517,173,1207,137
NA,"Rate per 100,000 inhabitants",NA,669.4,20.2,101,92.3,455.9,4377.2,499.2,3482.7,395.3
"Fargo, ND-MN M.S.A.",NA,234910,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Clay County, MN and Cass County, ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Fargo, ND",121217,467,3,79,68,317,3843,566,2962,315
NA,Total area actually reporting,1,635,5,135,91,404,5807,974,4337,496
NA,"Rate per 100,000 inhabitants",NA,270.3,2.1,57.5,38.7,172,2472,414.6,1846.2,211.1
"Farmington, NM M.S.A.",NA,116108,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Juan County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Farmington,42270,293,1,70,52,170,1857,332,1354,171
NA,Total area actually reporting,1,1100,2,128,68,902,3174,729,2168,277
NA,"Rate per 100,000 inhabitants",NA,947.4,1.7,110.2,58.6,776.9,2733.7,627.9,1867.2,238.6
"Fayetteville, NC M.S.A.",NA,378409,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cumberland and Hoke Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fayetteville,202200,1531,33,99,316,1083,9201,1868,6942,391
NA,Total area actually reporting,1,1982,44,123,415,1400,13168,3052,9577,539
NA,"Rate per 100,000 inhabitants",NA,523.8,11.6,32.5,109.7,370,3479.8,806.5,2530.9,142.4
"Flagstaff, AZ M.S.A.",NA,140312,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Coconino County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Flagstaff,71179,265,0,26,30,209,2856,255,2542,59
NA,Total area actually reporting,1,512,3,72,43,394,4197,478,3614,105
NA,"Rate per 100,000 inhabitants",NA,364.9,2.1,51.3,30.6,280.8,2991.2,340.7,2575.7,74.8
"Flint, MI M.S.A.",NA,407879,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Genesee County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Flint,97548,1545,45,96,249,1155,3323,1213,1867,243
NA,Total area actually reporting,1,2562,54,299,391,1818,9083,2420,6047,616
NA,"Rate per 100,000 inhabitants",NA,628.1,13.2,73.3,95.9,445.7,2226.9,593.3,1482.5,151
"Florence, SC M.S.A.",NA,207007,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Darlington and Florence Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Florence,38382,408,1,20,73,314,2563,407,2026,130
NA,Total area actually reporting,0.994,1320,14,102,222,982,8787,2207,6028,552
NA,Estimated total,1,1326,14,103,223,986,8834,2214,6065,555
NA,"Rate per 100,000 inhabitants",NA,640.6,6.8,49.8,107.7,476.3,4267.5,1069.5,2929.9,268.1
"Florence-Muscle Shoals, AL M.S.A.",NA,146537,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Colbert and Lauderdale Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Florence,40160,196,2,19,46,129,1400,242,1052,106
NA,City of Muscle Shoals,13810,54,0,5,6,43,588,108,443,37
NA,Total area actually reporting,0.998,428,4,42,72,310,3197,640,2275,282
NA,Estimated total,1,429,4,42,72,311,3207,642,2282,283
NA,"Rate per 100,000 inhabitants",NA,292.8,2.7,28.7,49.1,212.2,2188.5,438.1,1557.3,193.1
"Fond du Lac, WI M.S.A.",NA,101860,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Fond du Lac County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fond du Lac,42907,136,1,38,12,85,957,75,858,24
NA,Total area actually reporting,1,184,1,52,13,118,1377,149,1180,48
NA,"Rate per 100,000 inhabitants",NA,180.6,1,51.1,12.8,115.8,1351.9,146.3,1158.5,47.1
"Fort Collins, CO M.S.A.",NA,340447,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Larimer County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fort Collins,164670,342,5,33,40,264,4036,451,3384,201
NA,Total area actually reporting,1,712,9,103,71,529,7524,909,6229,386
NA,"Rate per 100,000 inhabitants",NA,209.1,2.6,30.3,20.9,155.4,2210,267,1829.7,113.4
"Fort Smith, AR-OK M.S.A.",NA,279567,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Fort Smith, AR",88573,712,4,70,97,541,5229,888,4008,333
NA,Total area actually reporting,0.997,1388,14,191,117,1066,9605,2150,6823,632
NA,Estimated total,1,1391,14,192,117,1068,9628,2155,6840,633
NA,"Rate per 100,000 inhabitants",NA,497.6,5,68.7,41.9,382,3443.9,770.8,2446.6,226.4
"Fort Wayne, IN M.S.A.",NA,431558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Allen, Wells, and Whitley Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fort Wayne,261642,1040,43,95,410,492,8924,1698,6812,414
NA,Total area actually reporting,0.947,1257,48,125,446,638,10858,2069,8297,492
NA,Estimated total,1,1288,49,129,450,660,11122,2135,8468,519
NA,"Rate per 100,000 inhabitants",NA,298.5,11.4,29.9,104.3,152.9,2577.2,494.7,1962.2,120.3
"Fresno, CA M.S.A.",NA,976874,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Fresno County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Fresno,524796,3206,39,158,1122,1887,20523,3697,13542,3284
NA,Total area actually reporting,1,5983,63,314,1414,4192,31875,6883,19806,5186
NA,"Rate per 100,000 inhabitants",NA,612.5,6.4,32.1,144.7,429.1,3263,704.6,2027.5,530.9
"Gadsden, AL M.S.A.",NA,102537,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Etowah County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Gadsden,35927,464,4,27,56,377,2521,401,1893,227
NA,Total area actually reporting,0.985,722,6,62,77,577,3651,700,2584,367
NA,Estimated total,1,730,6,63,78,583,3702,710,2621,371
NA,"Rate per 100,000 inhabitants",NA,711.9,5.9,61.4,76.1,568.6,3610.4,692.4,2556.2,361.8
"Gainesville, FL M.S.A.",NA,280301,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Alachua and Gilchrist Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Gainesville,131242,870,3,142,189,536,4908,590,3951,367
NA,Total area actually reporting,0.946,1460,4,216,271,969,7764,1258,5972,534
NA,Estimated total,1,1513,5,221,280,1007,8068,1320,6191,557
NA,"Rate per 100,000 inhabitants",NA,539.8,1.8,78.8,99.9,359.3,2878.3,470.9,2208.7,198.7
"Gainesville, GA M.S.A.",NA,196154,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Hall County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Gainesville,39425,162,3,14,56,89,1405,202,1107,96
NA,Total area actually reporting,1,512,8,39,121,344,5026,766,3871,389
NA,"Rate per 100,000 inhabitants",NA,261,4.1,19.9,61.7,175.4,2562.3,390.5,1973.4,198.3
"Gettysburg, PA M.S.A.",NA,102165,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Adams County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Gettysburg,7608,31,0,4,1,26,106,14,90,2
NA,Total area actually reporting,1,166,2,42,11,111,817,155,636,26
NA,"Rate per 100,000 inhabitants",NA,162.5,2,41.1,10.8,108.6,799.7,151.7,622.5,25.4
"Glens Falls, NY M.S.A.",NA,125674,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Warren and Washington Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Glens Falls,14212,33,1,5,3,24,220,32,187,1
NA,Total area actually reporting,1,207,2,91,14,100,1565,227,1317,21
NA,"Rate per 100,000 inhabitants",NA,164.7,1.6,72.4,11.1,79.6,1245.3,180.6,1047.9,16.7
"Goldsboro, NC M.S.A.",NA,124396,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Wayne County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Goldsboro,35871,389,11,3,84,291,1999,484,1416,99
NA,Total area actually reporting,0.977,538,11,7,119,401,3801,1212,2362,227
NA,Estimated total,1,546,11,8,121,406,3889,1229,2430,230
NA,"Rate per 100,000 inhabitants",NA,438.9,8.8,6.4,97.3,326.4,3126.3,988,1953.4,184.9
"Grand Forks, ND-MN M.S.A.",NA,101537,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Polk County, MN and Grand Forks County, ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Grand Forks, ND",57853,177,1,36,27,113,1783,303,1345,135
NA,Total area actually reporting,1,244,1,60,27,156,2550,467,1912,171
NA,"Rate per 100,000 inhabitants",NA,240.3,1,59.1,26.6,153.6,2511.4,459.9,1883.1,168.4
"Grand Island, NE M.S.A.",NA,85552,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hall, Hamilton, Howard, and Merrick Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Grand Island,51980,173,1,34,20,118,1620,236,1297,87
NA,Total area actually reporting,0.925,236,1,41,20,174,1893,308,1467,118
NA,Estimated total,1,245,1,43,21,180,1973,320,1527,126
NA,"Rate per 100,000 inhabitants",NA,286.4,1.2,50.3,24.5,210.4,2306.2,374,1784.9,147.3
"Grand Junction, CO M.S.A.",NA,148848,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Mesa County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Grand Junction,60628,314,4,63,35,212,3060,362,2537,161
NA,Total area actually reporting,0.992,516,9,119,46,342,4540,656,3622,262
NA,Estimated total,1,519,9,120,46,344,4573,660,3647,266
NA,"Rate per 100,000 inhabitants",NA,348.7,6,80.6,30.9,231.1,3072.3,443.4,2450.2,178.7
"Grand Rapids-Wyoming, MI M.S.A.",NA,1048249,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Barry, Kent, Montcalm, and Ottawa Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Grand Rapids,196538,1327,10,142,321,854,4334,822,3208,304
NA,City of Wyoming,75917,352,4,69,62,217,1758,297,1273,188
NA,Total area actually reporting,0.998,3529,22,825,529,2153,16906,2933,13028,945
NA,Estimated total,1,3534,22,826,530,2156,16939,2938,13053,948
NA,"Rate per 100,000 inhabitants",NA,337.1,2.1,78.8,50.6,205.7,1615.9,280.3,1245.2,90.4
"Grants Pass, OR M.S.A.",NA,85644,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Josephine County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Grants Pass,37317,96,0,17,29,50,2010,249,1554,207
NA,Total area actually reporting,1,190,2,22,35,131,2417,385,1687,345
NA,"Rate per 100,000 inhabitants",NA,221.8,2.3,25.7,40.9,153,2822.1,449.5,1969.8,402.8
"Great Falls, MT M.S.A.",NA,82482,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cascade County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Great Falls,59717,162,3,21,15,123,2944,365,2364,215
NA,Total area actually reporting,1,189,4,24,16,145,3149,407,2508,234
NA,"Rate per 100,000 inhabitants",NA,229.1,4.8,29.1,19.4,175.8,3817.8,493.4,3040.7,283.7
"Greeley, CO M.S.A.",NA,291675,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Weld County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Greeley,102491,468,3,85,51,329,3275,506,2447,322
NA,Total area actually reporting,0.996,749,4,123,76,546,5861,1001,4214,646
NA,Estimated total,1,752,4,124,76,548,5895,1005,4240,650
NA,"Rate per 100,000 inhabitants",NA,257.8,1.4,42.5,26.1,187.9,2021.1,344.6,1453.7,222.9
"Green Bay, WI M.S.A.2",NA,318010,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Brown,2 Kewaunee, and Oconto Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Green Bay2,105452,505,4,77,73,351,2306,424,1795,87
NA,Total area actually reporting,0.91,662,8,115,80,459,4418,724,3506,188
NA,Estimated total,1,681,8,119,81,473,4618,773,3645,200
NA,"Rate per 100,000 inhabitants",NA,214.1,2.5,37.4,25.5,148.7,1452.2,243.1,1146.2,62.9
"Hagerstown-Martinsburg, MD-WV M.S.A.",NA,261805,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Washington County, MD and Berkeley County, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Hagerstown, MD",40567,231,0,19,105,107,1262,374,775,113
NA,"City of Martinsburg, WV",17789,81,0,13,25,43,882,117,740,25
NA,Total area actually reporting,1,650,7,61,193,389,5556,1350,3871,335
NA,"Rate per 100,000 inhabitants",NA,248.3,2.7,23.3,73.7,148.6,2122.2,515.7,1478.6,128
"Hammond, LA M.S.A.",NA,129819,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Tangipahoa Parish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hammond,20576,286,7,12,59,208,2131,627,1412,92
NA,Total area actually reporting,0.966,1170,17,72,195,886,5470,1646,3459,365
NA,Estimated total,1,1189,17,73,198,901,5635,1674,3588,373
NA,"Rate per 100,000 inhabitants",NA,915.9,13.1,56.2,152.5,694,4340.7,1289.5,2763.8,287.3
"Hanford-Corcoran, CA M.S.A.",NA,149661,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kings County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hanford,55973,266,2,21,44,199,1496,222,1059,215
NA,City of Corcoran,22111,68,2,10,7,49,404,114,216,74
NA,Total area actually reporting,1,639,11,72,80,476,3167,699,1931,537
NA,"Rate per 100,000 inhabitants",NA,427,7.3,48.1,53.5,318.1,2116.1,467.1,1290.2,358.8
"Harrisburg-Carlisle, PA M.S.A.",NA,566382,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cumberland, Dauphin, and Perry Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Harrisburg,48996,526,13,54,160,299,1342,404,803,135
NA,City of Carlisle,19225,25,1,7,11,6,400,44,345,11
NA,Total area actually reporting,0.994,1439,19,214,309,897,8326,1536,6440,350
NA,Estimated total,1,1445,19,215,310,901,8379,1543,6484,352
NA,"Rate per 100,000 inhabitants",NA,255.1,3.4,38,54.7,159.1,1479.4,272.4,1144.8,62.1
"Harrisonburg, VA M.S.A.",NA,131581,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Rockingham County and Harrisonburg City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Harrisonburg,52972,117,2,25,29,61,1099,165,894,40
NA,Total area actually reporting,1,214,3,59,35,117,1794,328,1391,75
NA,"Rate per 100,000 inhabitants",NA,162.6,2.3,44.8,26.6,88.9,1363.4,249.3,1057.1,57
"Hartford-West Hartford-East Hartford, CT M.S.A.2",NA,1019846,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hartford, Middlesex, and Tolland Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hartford,123736,1353,14,65,476,798,5197,808,3616,773
NA,City of West Hartford,62979,40,0,2,38,0,1589,131,1351,107
NA,City of East Hartford,50733,147,4,26,51,66,1312,247,922,143
NA,City of Middletown,46580,70,0,5,23,42,927,109,731,87
NA,Total area actually reporting,1,2430,23,257,854,1296,22566,3050,17098,2418
NA,"Rate per 100,000 inhabitants",NA,238.3,2.3,25.2,83.7,127.1,2212.7,299.1,1676.5,237.1
"Hattiesburg, MS M.S.A.",NA,149558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Forrest, Lamar, and Perry Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hattiesburg,47006,147,8,10,52,77,2752,374,2292,86
NA,Total area actually reporting,0.902,279,9,23,66,181,3822,819,2872,131
NA,Estimated total,1,298,9,25,70,194,4068,881,3037,150
NA,"Rate per 100,000 inhabitants",NA,199.3,6,16.7,46.8,129.7,2720,589.1,2030.7,100.3
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",NA,211983,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Beaufort and Jasper Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bluffton,17498,25,2,6,5,12,267,39,217,11
NA,City of Beaufort,13477,85,1,3,21,60,857,100,729,28
NA,Total area actually reporting,1,668,17,76,144,431,4634,900,3399,335
NA,"Rate per 100,000 inhabitants",NA,315.1,8,35.9,67.9,203.3,2186,424.6,1603.4,158
"Hinesville, GA M.S.A.",NA,80776,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Liberty and Long Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hinesville,33477,215,2,14,49,150,1252,210,1011,31
NA,Total area actually reporting,1,344,3,16,65,260,1850,401,1372,77
NA,"Rate per 100,000 inhabitants",NA,425.9,3.7,19.8,80.5,321.9,2290.3,496.4,1698.5,95.3
"Homosassa Springs, FL M.S.A.",NA,141300,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Citrus County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,338,4,40,39,255,1979,426,1443,110
NA,"Rate per 100,000 inhabitants",NA,239.2,2.8,28.3,27.6,180.5,1400.6,301.5,1021.2,77.8
"Hot Springs, AR M.S.A.",NA,97312,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Garland County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Hot Springs,35716,277,4,26,62,185,2882,1059,1586,237
NA,Total area actually reporting,1,634,4,73,82,475,4605,1890,2349,366
NA,"Rate per 100,000 inhabitants",NA,651.5,4.1,75,84.3,488.1,4732.2,1942.2,2413.9,376.1
"Houma-Thibodaux, LA M.S.A.",NA,212402,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lafourche and Terrebonne Parishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Houma,34410,167,4,17,42,104,1411,196,1159,56
NA,City of Thibodaux,14588,90,0,3,10,77,593,142,443,8
NA,Total area actually reporting,1,954,19,61,114,760,6693,1591,4871,231
NA,"Rate per 100,000 inhabitants",NA,449.1,8.9,28.7,53.7,357.8,3151.1,749.1,2293.3,108.8
"Houston-The Woodlands-Sugar Land, TX M.S.A.",NA,6789215,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Houston,2334348,23960,301,1210,9962,12487,100856,18488,69630,12738
NA,City of Sugar Land,90088,77,0,16,43,18,1460,250,1162,48
NA,City of Baytown,77224,302,9,25,98,170,2858,525,1960,373
NA,City of Conroe,71111,252,1,39,86,126,2199,376,1639,184
NA,Total area actually reporting,0.999,39255,487,2710,14633,21425,198490,37216,138158,23116
NA,Estimated total,1,39256,487,2710,14633,21426,198500,37218,138165,23117
NA,"Rate per 100,000 inhabitants",NA,578.2,7.2,39.9,215.5,315.6,2923.8,548.2,2035.1,340.5
"Huntington-Ashland, WV-KY-OH M.S.A.3, 4",NA,359412,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Boyd and Greenup Counties, KY; Lawrence County OH; and Cabell, Lincoln, Putnam, and Wayne Counties, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Huntington, WV3",48540,378,3,33,125,217,NA,NA,1497,115
